,Features,"Local 
 Importance",Class,Trial
120,hmm5_p1 > 0.22,0.010052939749122802,Experiment,Trial 1
121,-0.76 < average_speed <= -0.02,-0.009975929181061717,Control,Trial 1
122,hmm5_sd.2 > 0.02,0.009295639074347906,Experiment,Trial 1
123,hmm5_mean.2 > 0.28,0.007831194422207135,Experiment,Trial 1
124,-0.00 < average_peak_curvature <= -0.00,0.007274428171334957,Experiment,Trial 1
125,0.02 < hmm5_sd.4 <= 0.03,-0.005069874011975413,Control,Trial 1
126,0.15 < hmm5_mean.4 <= 0.22,0.004024363393563048,Experiment,Trial 1
127,-0.20 < average_peak_magnitude <= 0.41,0.0030945885160132878,Experiment,Trial 1
128,hmm5_mean.5 <= 0.16,-0.0029354173265679086,Control,Trial 1
129,-0.24 < idle_time <= 0.26,-0.0013713794865386362,Control,Trial 1
130,hmm5_p4 > 0.24,-0.0003791014582491601,Control,Trial 1
131,hmm5_p2 <= 0.19,0.00016622411650226316,Experiment,Trial 1
132,-19.21 < MM_Hess <= 1.02,0.48919135175364226,Experiment,Trial 1
133,dis_sum > 0.40,-0.16550788005911551,Control,Trial 1
134,idle_time <= -0.52,-0.11299025657814654,Control,Trial 1
135,average_peak_magnitude > 0.91,-0.07093225600249453,Control,Trial 1
136,average_speed > 0.25,0.055777497364948136,Experiment,Trial 1
137,-0.37 < angle_sum <= 0.74,0.034317887386278126,Experiment,Trial 1
138,MM_Intercept > 0.20,-0.032134783310084736,Control,Trial 1
139,hmm5_mean.2 > 0.28,0.020280119568124245,Experiment,Trial 1
140,hmm5_p1 <= 0.13,-0.017395553305507034,Control,Trial 1
141,0.02 < hmm5_sd.5 <= 0.04,-0.016615704347663893,Control,Trial 1
142,0.12 < hmm5_p3 <= 0.17,-0.010540019692747815,Control,Trial 1
143,0.01 < hmm5_sd.4 <= 0.02,0.009971253463119709,Experiment,Trial 1
144,0.01 < hmm5_sd.2 <= 0.02,-0.007656219655193588,Control,Trial 1
145,average_peak_curvature <= -0.00,0.007165174123692033,Experiment,Trial 1
146,hmm5_sd.1 > 0.03,-0.0067688887402072235,Control,Trial 1
147,hmm5_p4 > 0.24,0.005509670463499062,Experiment,Trial 1
148,hmm5_mean.4 > 0.26,0.0038752033409180666,Experiment,Trial 1
149,0.01 < hmm5_sd.3 <= 0.02,0.003840308164403856,Experiment,Trial 1
150,hmm5_mean.3 > 0.24,-0.003304090955717687,Control,Trial 1
151,hmm5_mean.1 > 0.33,0.003229114485663612,Experiment,Trial 1
152,hmm5_p2 <= 0.19,-0.0029212421356798945,Control,Trial 1
153,hmm5_mean.5 > 0.34,0.002444656531465244,Experiment,Trial 1
154,MM_Hess <= -11.75,0.49034365755225134,Experiment,Trial 1
155,dis_sum > 0.40,-0.07292285315118421,Control,Trial 1
156,-0.63 < idle_time <= -0.24,-0.05239073989352506,Control,Trial 1
157,-0.20 < average_peak_magnitude <= 0.41,0.04066162183499393,Experiment,Trial 1
158,MM_Intercept <= -0.20,0.03902782494691924,Experiment,Trial 1
159,-0.62 < angle_sum <= -0.33,0.027993018225823965,Experiment,Trial 1
160,-0.08 < average_speed <= 0.29,0.016112838976090536,Experiment,Trial 1
161,hmm5_mean.3 > 0.24,0.014496005187543997,Experiment,Trial 1
162,hmm5_p2 > 0.28,0.014345855624741376,Experiment,Trial 1
163,0.21 < hmm5_mean.1 <= 0.34,0.01379717717730879,Experiment,Trial 1
164,0.01 < hmm5_sd.1 <= 0.02,-0.01252109931932196,Control,Trial 1
165,0.15 < hmm5_p4 <= 0.21,-0.012415764273837619,Control,Trial 1
166,hmm5_mean.5 <= 0.16,-0.012398345597919226,Control,Trial 1
167,-0.00 < average_peak_curvature <= -0.00,0.012287076777146053,Experiment,Trial 1
168,0.01 < hmm5_sd.2 <= 0.02,0.009017171687142929,Experiment,Trial 1
169,hmm5_sd.3 > 0.02,-0.007121422079818967,Control,Trial 1
170,0.01 < hmm5_sd.4 <= 0.02,-0.0069449706263141325,Control,Trial 1
171,0.22 < hmm5_mean.4 <= 0.27,0.005132931573463714,Experiment,Trial 1
172,0.18 < hmm5_p1 <= 0.22,-0.003560921007695273,Control,Trial 1
173,hmm5_p3 <= 0.13,-0.0015386535179029972,Control,Trial 1
174,0.01 < hmm5_sd.5 <= 0.02,0.0008548264448704595,Experiment,Trial 1
175,hmm5_mean.2 <= 0.13,-3.776293269040166e-05,Control,Trial 1
176,-0.45 < MM_Hess <= 7.22,0.3764481439763702,Experiment,Trial 1
177,-0.63 < idle_time <= -0.24,-0.07548736917293768,Control,Trial 1
178,hmm5_mean.2 > 0.28,0.03081285602596942,Experiment,Trial 1
179,0.01 < hmm5_sd.1 <= 0.02,-0.030678187269520516,Control,Trial 1
180,0.21 < hmm5_mean.1 <= 0.34,-0.022916556162822732,Control,Trial 1
181,-0.06 < dis_sum <= 0.43,-0.022671188666179166,Control,Trial 1
182,-0.37 < angle_sum <= 0.74,0.020696263228605353,Experiment,Trial 1
183,hmm5_mean.4 <= 0.16,-0.01737473969017539,Control,Trial 1
184,0.02 < hmm5_sd.4 <= 0.03,-0.015842933020136618,Control,Trial 1
185,0.34 < average_peak_magnitude <= 1.05,0.015775976384540744,Experiment,Trial 1
186,-0.76 < average_speed <= -0.02,-0.015562183126391701,Control,Trial 1
187,hmm5_p1 > 0.22,-0.013878272791649845,Control,Trial 1
188,MM_Intercept > 0.20,-0.013222207166366552,Control,Trial 1
189,-0.00 < average_peak_curvature <= -0.00,0.012805103016190636,Experiment,Trial 1
190,hmm5_p4 > 0.24,0.01187497190972622,Experiment,Trial 1
191,0.19 < hmm5_p2 <= 0.23,-0.008830994605729519,Control,Trial 1
192,0.24 < hmm5_mean.5 <= 0.35,-0.0069987314848104385,Control,Trial 1
193,hmm5_p3 <= 0.13,0.0064939447963420485,Experiment,Trial 1
194,0.01 < hmm5_sd.3 <= 0.01,0.00636225866338368,Experiment,Trial 1
195,0.01 < hmm5_sd.2 <= 0.02,-0.005254867546563349,Control,Trial 1
196,hmm5_mean.3 > 0.24,0.0032879613627233117,Experiment,Trial 1
197,hmm5_sd.5 <= 0.01,-0.0011668680763040039,Control,Trial 1
198,dis_sum > 0.40,-0.24702341013824636,Control,Trial 1
199,angle_sum > 0.38,-0.23073567279980328,Control,Trial 1
200,MM_Hess > 7.01,-0.22812983315935234,Control,Trial 1
201,-0.63 < idle_time <= -0.24,-0.07226413144202626,Control,Trial 1
202,MM_Intercept > 0.20,-0.059535690380460186,Control,Trial 1
203,average_peak_magnitude > 0.91,-0.05757164846585983,Control,Trial 1
204,0.22 < hmm5_p2 <= 0.29,0.020321804114331647,Experiment,Trial 1
205,0.24 < hmm5_mean.5 <= 0.35,-0.01776169396656464,Control,Trial 1
206,hmm5_mean.2 > 0.28,0.01666167591514593,Experiment,Trial 1
207,0.18 < hmm5_p1 <= 0.22,0.016216339756205123,Experiment,Trial 1
208,hmm5_sd.4 > 0.03,0.01555645239829048,Experiment,Trial 1
209,hmm5_sd.1 > 0.03,0.015342698218255868,Experiment,Trial 1
210,0.15 < hmm5_p4 <= 0.21,-0.013427755756628001,Control,Trial 1
211,-0.00 < average_peak_curvature <= -0.00,0.013245737717797938,Experiment,Trial 1
212,0.01 < hmm5_sd.5 <= 0.02,-0.01218280152344679,Control,Trial 1
213,hmm5_mean.3 > 0.24,0.01207325954979719,Experiment,Trial 1
214,-0.08 < average_speed <= 0.29,0.009417461007197642,Experiment,Trial 1
215,0.01 < hmm5_sd.2 <= 0.02,0.005326422961310186,Experiment,Trial 1
216,0.16 < hmm5_p3 <= 0.23,-0.005034252036630672,Control,Trial 1
217,0.15 < hmm5_mean.4 <= 0.22,-0.0036087498428642633,Control,Trial 1
218,0.01 < hmm5_sd.3 <= 0.01,0.001392410368666695,Experiment,Trial 1
219,hmm5_mean.1 > 0.33,-0.0007048375210074925,Control,Trial 1
220,MM_Hess > 7.01,-0.34930112510701683,Control,Trial 1
221,idle_time > 0.05,0.21560341738192373,Experiment,Trial 1
222,-0.62 < angle_sum <= -0.33,0.10650408613962971,Experiment,Trial 1
223,MM_Intercept <= -0.20,0.027092662098290407,Experiment,Trial 1
224,0.13 < hmm5_p1 <= 0.19,-0.01970977482091343,Control,Trial 1
225,0.01 < hmm5_sd.2 <= 0.01,-0.01519746949106942,Control,Trial 1
226,average_peak_magnitude <= -0.15,0.01516840748373135,Experiment,Trial 1
227,0.21 < hmm5_mean.1 <= 0.34,-0.015096385941637747,Control,Trial 1
228,hmm5_mean.2 <= 0.13,-0.0116671190216126,Control,Trial 1
229,0.01 < hmm5_sd.4 <= 0.02,0.009015085879138414,Experiment,Trial 1
230,0.01 < hmm5_sd.5 <= 0.02,-0.00816627937124644,Control,Trial 1
231,average_speed <= -0.67,0.006056855627161773,Experiment,Trial 1
232,hmm5_mean.4 <= 0.16,-0.005845419855245793,Control,Trial 1
233,hmm5_sd.1 > 0.03,-0.005379463164971875,Control,Trial 1
234,hmm5_p4 <= 0.15,0.004768060294239744,Experiment,Trial 1
235,-0.69 < dis_sum <= -0.02,0.004397355865724042,Experiment,Trial 1
236,0.01 < hmm5_sd.3 <= 0.02,-0.004154959809430178,Control,Trial 1
237,hmm5_p2 > 0.28,0.0020206315696882004,Experiment,Trial 1
238,hmm5_p3 > 0.22,0.0012914409680770697,Experiment,Trial 1
239,0.16 < hmm5_mean.5 <= 0.25,-0.0010735096663137523,Control,Trial 1
240,0.14 < hmm5_mean.3 <= 0.19,-0.0006981140709185276,Control,Trial 1
241,-0.00 < average_peak_curvature <= -0.00,-0.0004023534744054789,Control,Trial 1
242,MM_Hess <= -11.75,-0.3849207588029494,Control,Trial 1
243,angle_sum > 0.38,-0.19365669732563137,Control,Trial 1
244,-0.63 < idle_time <= -0.24,-0.06006159215294136,Control,Trial 1
245,-0.06 < dis_sum <= 0.43,-0.036498469988738014,Control,Trial 1
246,MM_Intercept <= -0.20,0.03468710160845598,Experiment,Trial 1
247,hmm5_mean.3 <= 0.14,-0.03034279534352036,Control,Trial 1
248,hmm5_mean.1 <= 0.15,0.02894292189216454,Experiment,Trial 1
249,0.16 < hmm5_mean.5 <= 0.25,-0.02418796514423846,Control,Trial 1
250,hmm5_p1 <= 0.13,-0.017488045135672453,Control,Trial 1
251,average_peak_magnitude <= -0.15,0.008880923756082163,Experiment,Trial 1
252,-0.00 < average_peak_curvature <= -0.00,-0.008234650362787697,Control,Trial 1
253,0.20 < hmm5_p4 <= 0.25,-0.007928640422714251,Control,Trial 1
254,0.22 < hmm5_p2 <= 0.28,-0.007385652196527708,Control,Trial 1
255,hmm5_mean.4 <= 0.16,-0.007195485405360953,Control,Trial 1
256,hmm5_sd.5 > 0.03,-0.00697232119685447,Control,Trial 1
257,0.01 < hmm5_sd.2 <= 0.02,-0.005949523568095794,Control,Trial 1
258,-0.76 < average_speed <= -0.02,0.005174431992199577,Experiment,Trial 1
259,hmm5_sd.4 <= 0.01,0.004924465047480771,Experiment,Trial 1
260,hmm5_sd.3 <= 0.01,0.004613479673289652,Experiment,Trial 1
261,0.12 < hmm5_mean.2 <= 0.19,-0.004404993953784705,Control,Trial 1
262,hmm5_sd.1 <= 0.01,-0.004279820032684252,Control,Trial 1
263,hmm5_p3 <= 0.13,0.002031309876720384,Experiment,Trial 1
264,MM_Hess <= -11.75,-0.36220999767519774,Control,Trial 1
265,-0.37 < angle_sum <= 0.65,0.048589984067798915,Experiment,Trial 1
266,0.14 < hmm5_mean.3 <= 0.19,-0.03875108471958413,Control,Trial 1
267,-0.06 < dis_sum <= 0.43,-0.03482174660222095,Control,Trial 1
268,-0.74 < average_speed <= -0.02,-0.02164772820831161,Control,Trial 1
269,hmm5_mean.5 > 0.34,-0.015878443419280033,Control,Trial 1
270,hmm5_sd.5 > 0.03,-0.01103008063964927,Control,Trial 1
271,hmm5_sd.3 > 0.02,0.010818230166196142,Experiment,Trial 1
272,0.21 < hmm5_mean.1 <= 0.34,0.00971256371490581,Experiment,Trial 1
273,0.18 < hmm5_p1 <= 0.22,0.009028653393793664,Experiment,Trial 1
274,0.19 < hmm5_p2 <= 0.23,-0.008478863889747931,Control,Trial 1
275,0.15 < hmm5_mean.4 <= 0.22,0.008212925244450997,Experiment,Trial 1
276,0.16 < hmm5_p3 <= 0.23,0.008184877379250617,Experiment,Trial 1
277,hmm5_mean.2 > 0.28,-0.007345248271239505,Control,Trial 1
278,0.01 < hmm5_sd.1 <= 0.02,-0.006394990988160806,Control,Trial 1
279,hmm5_sd.2 > 0.02,0.006271068445026195,Experiment,Trial 1
280,hmm5_p4 > 0.24,0.005460718812488762,Experiment,Trial 1
281,-0.24 < idle_time <= 0.26,-0.005262065199045091,Control,Trial 1
282,MM_Intercept > 0.20,-0.003054371280028913,Control,Trial 1
283,-0.00 < average_peak_curvature <= -0.00,0.0025931958294646306,Experiment,Trial 1
284,hmm5_sd.4 <= 0.01,-0.0011894371737019777,Control,Trial 1
285,0.34 < average_peak_magnitude <= 1.01,0.0010060009036872092,Experiment,Trial 1
286,MM_Hess > 7.01,-0.36844710102261624,Control,Trial 1
287,idle_time <= -0.52,-0.10713265315693998,Control,Trial 1
288,dis_sum > 0.40,-0.10416725410475926,Control,Trial 1
289,-0.62 < angle_sum <= -0.35,0.09099676599226507,Experiment,Trial 1
290,average_peak_curvature > -0.00,-0.03085720801415244,Control,Trial 1
291,average_speed > 0.25,0.029357583603526385,Experiment,Trial 1
292,0.15 < hmm5_p4 <= 0.21,-0.026816516385816672,Control,Trial 1
293,0.16 < hmm5_mean.5 <= 0.25,-0.01885963833439597,Control,Trial 1
294,hmm5_sd.5 > 0.03,-0.01789149594273471,Control,Trial 1
295,hmm5_mean.1 <= 0.15,-0.01691459461972011,Control,Trial 1
296,average_peak_magnitude <= -0.15,-0.013485325378211394,Control,Trial 1
297,hmm5_mean.2 <= 0.13,0.011426640063472014,Experiment,Trial 1
298,hmm5_sd.1 <= 0.01,0.008804845000102597,Experiment,Trial 1
299,hmm5_sd.3 <= 0.01,0.008200023688075063,Experiment,Trial 1
300,hmm5_mean.3 <= 0.14,0.007729143556248578,Experiment,Trial 1
301,0.01 < hmm5_sd.2 <= 0.02,0.00605012231382308,Experiment,Trial 1
302,hmm5_mean.4 <= 0.16,-0.00509653986302824,Control,Trial 1
303,hmm5_p2 > 0.28,-0.0035825675633553646,Control,Trial 1
304,MM_Intercept <= -0.20,0.003565603129758921,Experiment,Trial 1
305,0.13 < hmm5_p1 <= 0.19,-0.0027763330600922382,Control,Trial 1
306,0.16 < hmm5_p3 <= 0.23,0.002074649504360832,Experiment,Trial 1
307,hmm5_sd.4 <= 0.01,0.00031792865562330595,Experiment,Trial 1
308,MM_Hess > 7.01,-0.4010581853920893,Control,Trial 1
309,angle_sum > 0.38,-0.1052604633414043,Control,Trial 1
310,idle_time <= -0.52,-0.05914239685484895,Control,Trial 1
311,dis_sum > 0.40,-0.043386736512263685,Control,Trial 1
312,-0.08 < average_speed <= 0.29,-0.023369678054386438,Control,Trial 1
313,hmm5_mean.2 <= 0.13,-0.023277756660263205,Control,Trial 1
314,hmm5_sd.5 <= 0.01,-0.02120969304427255,Control,Trial 1
315,hmm5_mean.1 <= 0.15,-0.019012813417076137,Control,Trial 1
316,hmm5_sd.2 <= 0.01,0.016922529524865747,Experiment,Trial 1
317,hmm5_p3 <= 0.13,0.011391932994133304,Experiment,Trial 1
318,0.19 < hmm5_p2 <= 0.23,0.008740002550750517,Experiment,Trial 1
319,hmm5_mean.3 <= 0.14,-0.007316306778198282,Control,Trial 1
320,0.15 < hmm5_mean.4 <= 0.22,0.0069890834745839825,Experiment,Trial 1
321,average_peak_curvature > -0.00,0.006959896414278074,Experiment,Trial 1
322,hmm5_sd.3 <= 0.01,0.006814215036763073,Experiment,Trial 1
323,0.02 < hmm5_sd.4 <= 0.03,0.005491551025088744,Experiment,Trial 1
324,hmm5_p1 > 0.22,0.004694143020764023,Experiment,Trial 1
325,0.20 < hmm5_p4 <= 0.25,0.004004430989257368,Experiment,Trial 1
326,MM_Intercept <= -0.20,-0.00310733010857174,Control,Trial 1
327,hmm5_mean.5 <= 0.16,0.0019720384450663147,Experiment,Trial 1
328,average_peak_magnitude <= -0.15,-0.0003693068644375578,Control,Trial 1
329,hmm5_sd.1 <= 0.01,7.004875519402398e-05,Experiment,Trial 1
330,-19.21 < MM_Hess <= 1.02,0.5851156814973473,Experiment,Trial 1
331,idle_time > 0.05,0.24856264885207915,Experiment,Trial 1
332,dis_sum <= -0.65,0.15202116154497017,Experiment,Trial 1
333,angle_sum > 0.38,-0.08467974456552707,Control,Trial 1
334,0.01 < hmm5_sd.2 <= 0.01,0.025834703638293093,Experiment,Trial 1
335,0.18 < hmm5_mean.2 <= 0.28,0.024531390268223943,Experiment,Trial 1
336,hmm5_p4 <= 0.15,-0.021177273161294672,Control,Trial 1
337,0.01 < hmm5_sd.5 <= 0.02,0.019268692308848565,Experiment,Trial 1
338,-0.04 < MM_Intercept <= 0.22,0.018706610708925684,Experiment,Trial 1
339,-0.76 < average_speed <= -0.02,-0.01582911498408609,Control,Trial 1
340,0.18 < hmm5_mean.3 <= 0.25,-0.009351879631732523,Control,Trial 1
341,hmm5_sd.1 > 0.03,0.009277320069380271,Experiment,Trial 1
342,hmm5_sd.3 <= 0.01,-0.007561578338220557,Control,Trial 1
343,0.34 < average_peak_magnitude <= 1.05,-0.007421142961165457,Control,Trial 1
344,hmm5_p1 > 0.22,0.007194273525526292,Experiment,Trial 1
345,0.12 < hmm5_p3 <= 0.17,0.0065163051413656015,Experiment,Trial 1
346,hmm5_mean.4 <= 0.16,-0.005491292198790735,Control,Trial 1
347,hmm5_p2 <= 0.19,0.005263214016994232,Experiment,Trial 1
348,0.02 < hmm5_sd.4 <= 0.03,0.004953859544692159,Experiment,Trial 1
349,-0.00 < average_peak_curvature <= -0.00,0.0045910510125291605,Experiment,Trial 1
350,0.24 < hmm5_mean.5 <= 0.35,0.004134664128315646,Experiment,Trial 1
351,hmm5_mean.1 > 0.33,-0.0034351400893724263,Control,Trial 1
352,MM_Hess <= -11.75,-0.3614062609694525,Control,Trial 1
353,angle_sum > 0.38,-0.24713595887595743,Control,Trial 1
354,dis_sum > 0.40,-0.11925687426207622,Control,Trial 1
355,idle_time <= -0.52,-0.08532342073878987,Control,Trial 1
356,MM_Intercept > 0.20,-0.033932811290858976,Control,Trial 1
357,0.22 < hmm5_p2 <= 0.29,0.020654819726327323,Experiment,Trial 1
